id,name,text,trans
1017001000110010,朝日,～♪,
0000000000000,制作人,早上好，朝日\n发生什么好事了吗？,
1017001000110020,朝日,天气真好啊！,
0000000000000,制作人,晴れてる……？,
select,,感觉会有好事情发生,
select,,衣服很容易就能晒干了,
select,,这有什么关系呢？,
1017001000110030,朝日,制作人也是这么认为的吧！,
1017001000110040,朝日,肯定会发生好事的！\n我出去找找看！,
0000000000000,制作人,（好，聊得很开心）,
1017001000110050,朝日,原来如此~我没有想到这点呢！,
1017001000110060,朝日,制作人你说话挺有意思的嘛！,
0000000000000,制作人,（嘛，聊的还行吧）,
1017001000110070,朝日,这么说来是没什么呢~……,
1017001000110080,朝日,那么看来今天是不会有什么有趣的事了,
0000000000000,制作人,（呜……糟了。要是说点别的就好了……）,
#info,produce_communications/101700100011.json,,
译者,,,